president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,4/30/20,42.921096,46.798932,39.043261,52.389264,56.547651,48.230876,4/30/20 15:43
Donald Trump,All polls,4/29/20,42.563159,46.281516,38.844803,52.668005,56.718638,48.617373,4/29/20 17:41
Donald Trump,All polls,4/28/20,42.599133,46.328493,38.869772,52.571193,56.717958,48.424429,4/28/20 23:02
Donald Trump,All polls,4/27/20,43.258787,47.066718,39.450856,52.579022,56.931583,48.226462,4/27/20 15:23
Donald Trump,All polls,4/26/20,43.428729,47.251167,39.606291,52.447502,56.861902,48.033102,4/27/20 8:11
Donald Trump,All polls,4/25/20,43.428729,47.251183,39.606276,52.447502,56.861901,48.033102,4/25/20 7:56
Donald Trump,All polls,4/24/20,43.431835,47.254847,39.608822,52.405247,56.800253,48.010241,4/24/20 20:39
Donald Trump,All polls,4/23/20,43.449942,47.26871,39.631175,52.553868,56.827174,48.280562,4/23/20 17:02
Donald Trump,All polls,4/22/20,43.583277,47.448739,39.717816,52.40858,56.738731,48.078428,4/22/20 19:42
Donald Trump,All polls,4/21/20,43.721279,47.577932,39.864627,52.146827,56.392031,47.901623,4/21/20 17:33
Donald Trump,All polls,4/20/20,44.06257,47.665407,40.459734,52.265749,56.570746,47.960753,4/20/20 15:39
Donald Trump,All polls,4/19/20,44.105206,47.771068,40.439345,52.116035,56.512573,47.719496,4/19/20 9:03
Donald Trump,All polls,4/18/20,44.039269,47.755414,40.323124,52.015726,56.527064,47.504388,4/18/20 17:36
Donald Trump,All polls,4/17/20,44.032825,47.680162,40.385489,52.060355,56.591559,47.52915,4/17/20 19:20
Donald Trump,All polls,4/16/20,44.108898,47.76939,40.448406,52.013569,56.553089,47.474048,4/16/20 17:45
Donald Trump,All polls,4/15/20,44.35656,48.075278,40.637841,51.377554,55.887691,46.867418,4/15/20 10:01
Donald Trump,All polls,4/14/20,44.277388,48.110976,40.443799,51.380899,56.00538,46.756417,4/14/20 19:22
Donald Trump,All polls,4/13/20,44.233124,48.166056,40.300193,51.233075,55.968435,46.497715,4/13/20 19:14
Donald Trump,All polls,4/12/20,44.412358,48.387992,40.436724,50.719189,55.399216,46.039162,4/12/20 20:18
Donald Trump,All polls,4/11/20,44.417322,48.395946,40.438698,50.706717,55.396928,46.016506,4/11/20 19:41
Donald Trump,All polls,4/10/20,44.367344,48.35694,40.377749,50.764068,55.468794,46.059343,4/10/20 18:23
Donald Trump,All polls,4/9/20,44.605735,48.59662,40.614849,50.284832,54.933405,45.636259,4/9/20 18:27
Donald Trump,All polls,4/8/20,44.631565,48.566108,40.697021,49.986358,54.752033,45.220683,4/8/20 15:38
Donald Trump,All polls,4/7/20,45.350914,49.509266,41.192563,49.685118,54.515318,44.854919,4/7/20 23:16
Donald Trump,All polls,4/6/20,45.292246,49.480579,41.103914,49.643333,54.501772,44.784894,4/6/20 18:21
Donald Trump,All polls,4/5/20,45.788477,50.059312,41.517642,50.027034,54.878032,45.176036,4/5/20 13:10
Donald Trump,All polls,4/4/20,45.784796,50.034617,41.534976,49.910053,54.749417,45.070689,4/4/20 7:30
Donald Trump,All polls,4/3/20,45.845898,50.087236,41.60456,49.882515,54.689812,45.075217,4/3/20 9:42
Donald Trump,All polls,4/2/20,45.673972,49.990927,41.357017,50.038567,54.969087,45.108047,4/2/20 14:47
Donald Trump,All polls,4/1/20,45.816466,50.180651,41.45228,49.707552,54.691272,44.723832,4/1/20 16:50
Donald Trump,All polls,3/31/20,45.418363,49.933592,40.903135,50.204039,54.912943,45.495135,3/31/20 22:51
Donald Trump,All polls,3/30/20,45.338869,49.864528,40.813209,50.191026,54.960754,45.421299,3/30/20 14:00
