president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,4/30/20,42.842148,46.742158,38.942138,52.644868,56.277127,49.012608,4/30/20 15:46
Donald Trump,Adults,4/30/20,43.659526,47.533365,39.785686,51.651923,56.485343,46.818504,4/30/20 15:44
Donald Trump,All polls,4/30/20,42.921096,46.798932,39.043261,52.389264,56.547651,48.230876,4/30/20 15:43
Donald Trump,Adults,4/29/20,43.021307,46.379862,39.662752,52.159112,56.863868,47.454356,4/29/20 17:42
Donald Trump,Voters,4/29/20,42.723025,46.545017,38.901033,52.614647,56.202069,49.027226,4/29/20 17:44
Donald Trump,All polls,4/29/20,42.563159,46.281516,38.844803,52.668005,56.718638,48.617373,4/29/20 17:41
Donald Trump,Voters,4/28/20,42.691683,46.569246,38.81412,52.710678,56.350641,49.070715,4/28/20 23:05
Donald Trump,Adults,4/28/20,43.156577,46.587085,39.726069,51.925153,56.804669,47.045637,4/28/20 23:03
Donald Trump,All polls,4/28/20,42.599133,46.328493,38.869772,52.571193,56.717958,48.424429,4/28/20 23:02
Donald Trump,All polls,4/27/20,43.258787,47.066718,39.450856,52.579022,56.931583,48.226462,4/27/20 15:23
Donald Trump,Adults,4/27/20,43.134294,46.621165,39.647423,52.092446,57.102981,47.08191,4/27/20 15:24
Donald Trump,Voters,4/27/20,43.652574,47.545359,39.759789,52.622846,56.206408,49.039283,4/27/20 15:26
Donald Trump,Voters,4/26/20,43.815235,47.686447,39.944022,52.459453,56.07591,48.842996,4/27/20 8:15
Donald Trump,Adults,4/26/20,43.256444,46.691692,39.821197,51.904479,56.912679,46.896278,4/27/20 8:13
Donald Trump,All polls,4/26/20,43.428729,47.251167,39.606291,52.447502,56.861902,48.033102,4/27/20 8:11
Donald Trump,Adults,4/25/20,43.256444,46.691684,39.821205,51.904479,56.912676,46.896281,4/25/20 7:57
Donald Trump,Voters,4/25/20,43.815235,47.686445,39.944024,52.459453,56.07591,48.842996,4/25/20 7:59
Donald Trump,All polls,4/25/20,43.428729,47.251183,39.606276,52.447502,56.861901,48.033102,4/25/20 7:56
Donald Trump,Adults,4/24/20,43.256444,46.691692,39.821196,51.904479,56.912669,46.896288,4/24/20 20:40
Donald Trump,Voters,4/24/20,43.816765,47.684594,39.948937,52.398494,55.981985,48.815003,4/24/20 20:42
Donald Trump,All polls,4/24/20,43.431835,47.254847,39.608822,52.405247,56.800253,48.010241,4/24/20 20:39
Donald Trump,Voters,4/23/20,43.776987,47.611282,39.942692,52.476629,56.055171,48.898088,4/23/20 17:05
Donald Trump,Adults,4/23/20,43.278319,46.723681,39.832956,52.127499,57.010856,47.244142,4/23/20 17:03
Donald Trump,All polls,4/23/20,43.449942,47.26871,39.631175,52.553868,56.827174,48.280562,4/23/20 17:02
Donald Trump,Adults,4/22/20,43.21908,46.681826,39.756335,52.138887,57.077773,47.200001,4/22/20 19:43
Donald Trump,Voters,4/22/20,43.933659,47.771671,40.095647,52.284721,55.90573,48.663711,4/22/20 19:44
Donald Trump,All polls,4/22/20,43.583277,47.448739,39.717816,52.40858,56.738731,48.078428,4/22/20 19:42
Donald Trump,Voters,4/21/20,44.238495,48.122167,40.354823,52.15145,55.868961,48.433938,4/21/20 17:36
Donald Trump,Adults,4/21/20,43.219237,46.702266,39.736209,51.955577,56.70739,47.203764,4/21/20 17:34
Donald Trump,All polls,4/21/20,43.721279,47.577932,39.864627,52.146827,56.392031,47.901623,4/21/20 17:33
Donald Trump,Voters,4/20/20,44.318684,47.834883,40.802484,52.271036,55.920495,48.621578,4/20/20 15:41
Donald Trump,Adults,4/20/20,43.788779,47.19325,40.384309,51.854119,56.799627,46.908611,4/20/20 15:40
Donald Trump,All polls,4/20/20,44.06257,47.665407,40.459734,52.265749,56.570746,47.960753,4/20/20 15:39
Donald Trump,Voters,4/19/20,44.455582,48.0222,40.888963,52.019311,55.736037,48.302585,4/19/20 9:05
Donald Trump,Adults,4/19/20,43.729986,47.310406,40.149566,51.718706,56.78001,46.657402,4/19/20 9:04
Donald Trump,All polls,4/19/20,44.105206,47.771068,40.439345,52.116035,56.512573,47.719496,4/19/20 9:03
Donald Trump,Adults,4/18/20,43.729986,47.310415,40.149557,51.718706,56.780024,46.657388,4/18/20 17:37
Donald Trump,Voters,4/18/20,44.452591,48.110562,40.794619,52.070581,55.86798,48.273182,4/18/20 17:38
Donald Trump,All polls,4/18/20,44.039269,47.755414,40.323124,52.015726,56.527064,47.504388,4/18/20 17:36
Donald Trump,Voters,4/17/20,44.390624,47.965098,40.816149,52.183793,55.984151,48.383434,4/17/20 19:22
Donald Trump,Adults,4/17/20,43.729986,47.310406,40.149566,51.718706,56.780008,46.657405,4/17/20 19:21
Donald Trump,All polls,4/17/20,44.032825,47.680162,40.385489,52.060355,56.591559,47.52915,4/17/20 19:20
Donald Trump,Adults,4/16/20,43.729986,47.310408,40.149564,51.718706,56.780011,46.657402,4/16/20 17:46
Donald Trump,Voters,4/16/20,44.477315,48.058571,40.896058,52.129322,55.93952,48.319124,4/16/20 17:47
Donald Trump,All polls,4/16/20,44.108898,47.76939,40.448406,52.013569,56.553089,47.474048,4/16/20 17:45
Donald Trump,Adults,4/15/20,43.994962,47.722998,40.266926,50.842083,55.956679,45.727487,4/15/20 10:02
Donald Trump,Voters,4/15/20,44.7615,48.405868,41.117133,51.533103,55.28009,47.786116,4/15/20 10:03
Donald Trump,All polls,4/15/20,44.35656,48.075278,40.637841,51.377554,55.887691,46.867418,4/15/20 10:01
Donald Trump,Voters,4/14/20,44.645348,48.374384,40.916311,51.774275,55.606283,47.942267,4/14/20 19:24
Donald Trump,Adults,4/14/20,43.764737,47.704991,39.824482,50.748517,56.060162,45.436873,4/14/20 19:23
Donald Trump,All polls,4/14/20,44.277388,48.110976,40.443799,51.380899,56.00538,46.756417,4/14/20 19:22
Donald Trump,All polls,4/13/20,44.233124,48.166056,40.300193,51.233075,55.968435,46.497715,4/13/20 19:14
Donald Trump,Adults,4/13/20,43.65151,47.58887,39.71415,50.741525,56.043112,45.439937,4/13/20 19:15
Donald Trump,Voters,4/13/20,44.732763,48.588029,40.877497,51.747912,55.712577,47.783247,4/13/20 19:16
Donald Trump,Voters,4/12/20,44.941647,48.847444,41.035849,51.472969,55.545107,47.400831,4/12/20 20:20
Donald Trump,Adults,4/12/20,43.737121,47.754248,39.719995,50.141861,55.254046,45.029675,4/12/20 20:19
Donald Trump,All polls,4/12/20,44.412358,48.387992,40.436724,50.719189,55.399216,46.039162,4/12/20 20:18
Donald Trump,Voters,4/11/20,45.002785,48.904752,41.100818,51.426613,55.499579,47.353647,4/11/20 19:43
Donald Trump,Adults,4/11/20,43.753236,47.756355,39.750117,50.112176,55.208027,45.016326,4/11/20 19:42
